Name_of_Monarch,Year_of_Birth,Year_of_Death,Instated_on_Throne,Number_of_Years_on_Throne,Years_Alive
Gorm_den_Gamle,908.0,958.0,NA,NA ,50.0
Harald_1_Blåtand,NA,987.0,958.0,29.0,NA
Svend_1_Tveskæg,NA ,1014.0,987.0,27.0,NA
Harald_2,NA,1018.0,1014.0,4.0,NA
Knud_1_den_Store,995.0,1035.0,1018.0,19.0,40.0
Hardeknud,1020.0,1042.0,1035.0,7.0,22.0
Magnus_1_den_Gode,1024.0,1047.0,1042.0,5.0,23.0
Svend_2_Estridsen,NA ,1076.0,1047.0,27.0,NA 
Harald_3_Hen,NA,1080.0,1074.0,6.0,NA
Knud_4_den_Hellige,NA,1086.0,1080.0,6.0,NA
Oluf_1_Hunger,NA,1095.0,1086.0,9.0,NA
Erik_1_Ejegod,1056.0,1103.0,1095.0,8.0,47.0
Niels,NA,1134.0,1104.0,30.0,NA
Erik 2. Emune,NA,1137.0,1134.0,3.0,NA
Erik_3_Lam,NA,1146.0,1137.0,9.0,NA
Svend_3,NA,1157.0,1146.0,11.0,NA
Knud_5_Magnussen,NA,1157.0,1146.0,11.0,NA
Valdemar_1_den_Store,1131.0,1182.0,1157.0,25.0,51.0
Knud_6,1163.0,1202.0,1182.0,20.0,39.0
Valdemar_2_Sejr,1170.0,1241.0,1202.0,39.0,71.0
Erik_4_Plovpenning,1216.0,1250.0,1241.0,9.0,34.0
Abel,1218.0,1252.0,1250.0,2.0,34.0
Christoffer_1,1219.0,1259.0,1252.0,7.0,40.0
Erik_5_Klipping,1249.0,1286.0,1259.0,27.0,37.0
Erik_6_Menved,1274.0,1319.0,1286.0,33.0,45.0
Christoffer_2,1276.0,1332.0,1320.0,6.0,56.0
Valdemar_3_Eriksen,1314.0,1364.0,1326.0,4.0,50.0
Christoffer_2,1276.0,1332.0,1330.0,2.0,56.0
Interregnum_1332-1340,NA,NA,NA,NA ,NA
Valdemar_4_Atterdag,1320.0,1375.0,1340.0,35.0,55.0
Oluf_2,1370.0,1387.0,1376.0,11.0,17.0
Margrete_1,1353.0,1412.0,1387.0,25.0,59.0
Erik_7_af_Pommern,1382.0,1459.0,1412.0,27.0,77.0
Christoffer_3_af_Bayern,1416.0,1448.0,1440.0,8.0,32.0
Christian_1,1426.0,1481.0,1448.0,33.0,55.0
Hans,1455.0,1513.0,1481.0,32.0,58.0
Christian_2,1481.0,1559.0,1513.0,10.0,78.0
Frederik_1,1471.0,1533.0,1523.0,10.0,62.0
Interregnum_1533-1536,NA,NA,NA,NA ,NA
Christian_3,1503.0,1559.0,1534.0,25.0,56.0
Frederik_2,1534.0,1588.0,1559.0,29.0,54.0
Christian_4,1577.0,1648.0,1588.0,60.0,71.0
Frederik_3,1609.0,1670.0,1648.0,22.0,61.0
Christian_5,1646.0,1699.0,1670.0,29.0,53.0
Frederik_4,1671.0,1730.0,1699.0,31.0,59.0
Christian_6,1699.0,1746.0,1730.0,16.0,47.0
Frederik_5,1723.0,1766.0,1746.0,20.0,43.0
Christian_7,1749.0,1808.0,1766.0,42.0,59.0
Frederik_6,1768.0,1839.0,1808.0,31.0,71.0
Christian_8,1786.0,1848.0,1839.0,9.0,62.0
Frederik_7,1808.0,1863.0,1848.0,15.0,55.0
Christian_9,1818.0,1906.0,1863.0,43.0,88.0
Frederik_8,1843.0,1912.0,1906.0,6.0,69.0
Christian_10,1870.0,1947.0,1912.0,35.0,77.0
Frederik_9,1899.0,1972.0,1947.0,25.0,73.0
Margrete_2,1940.0,NA,1972.0,NA ,NA
